Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
wisconsin;TRUE;TRUE;TRUE;TRUE;468;429;15;5;0.979133066202178;NaN
wisconsin;FALSE;TRUE;TRUE;TRUE;474;426;18;2;0.979472650715;NaN
wisconsin;TRUE;FALSE;TRUE;TRUE;464;432;12;7;0.979950300971702;NaN
wisconsin;FALSE;FALSE;TRUE;TRUE;474;425;19;2;0.978478766490779;NaN
wisconsin;TRUE;TRUE;FALSE;TRUE;456;431;13;11;0.974361198686698;NaN
