Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean
kddcup-buffer_overflow_vs_back;FALSE;TRUE;FALSE;FALSE;-;-;-;-;-
kddcup-buffer_overflow_vs_back;TRUE;FALSE;FALSE;FALSE;6;441;0;0;1
kddcup-rootkit-imap_vs_back;TRUE;TRUE;TRUE;TRUE;5;440;0;0;1
kddcup-rootkit-imap_vs_back;FALSE;TRUE;TRUE;TRUE;0;440;0;5;NaN
kddcup-rootkit-imap_vs_back;TRUE;FALSE;TRUE;TRUE;5;440;0;0;1
kddcup-rootkit-imap_vs_back;FALSE;FALSE;TRUE;TRUE;0;440;0;5;NaN
kddcup-rootkit-imap_vs_back;TRUE;TRUE;FALSE;TRUE;5;440;0;0;1
kddcup-rootkit-imap_vs_back;FALSE;TRUE;FALSE;TRUE;-;-;-;-;-
kddcup-rootkit-imap_vs_back;TRUE;FALSE;FALSE;TRUE;5;440;0;0;1
kddcup-rootkit-imap_vs_back;FALSE;FALSE;FALSE;TRUE;-;-;-;-;-
kddcup-rootkit-imap_vs_back;TRUE;TRUE;TRUE;FALSE;5;440;0;0;1
